latitude,longitude,SNMP
-33.27511733,117.9661412,-65
-33.27511733,117.9661412,-65
-33.27511733,117.9661412,-65
-33.27511733,117.9661412,-71
-33.27511733,117.9661412,-71
-33.27511733,117.9661412,-60
-33.2749251,117.9661432,-60
-33.2747285,117.9661462,-60
-33.2747285,117.9661462,-68
-33.2746295,117.9661467,-68
-33.2745305,117.9661459,-68
-33.2745305,117.9661459,-67
-33.2744314,117.9661445,-67
-33.2743322,117.9661447,-67
-33.2743322,117.9661447,-67
-33.274233,117.9661477,-67
-33.2741341,117.9661533,-67
-33.2741341,117.9661533,-75
-33.2740357,117.9661592,-75
-33.2739388,117.9661652,-75
-33.2739388,117.9661652,-71
-33.2738432,117.9661698,-71
-33.2737493,117.966173,-71
-33.2737493,117.966173,-65
-33.2736558,117.9661755,-65
-33.2735632,117.966177,-65
-33.2735632,117.966177,-82
-33.273471,117.9661778,-82
-33.2733798,117.9661781,-82
-33.2733798,117.9661781,-68
-33.2732884,117.9661784,-68
-33.2731976,117.9661782,-68
-33.2731976,117.9661782,-75
-33.2731062,117.9661771,-75
-33.2730154,117.9661765,-75
-33.2730154,117.9661765,-70
-33.2729251,117.9661764,-70
-33.2728345,117.966176,-70
-33.2728345,117.966176,-73
-33.2727437,117.9661756,-73
-33.272653,117.9661753,-72
-33.272653,117.9661753,-72
-33.2725625,117.9661744,-72
-33.2724741,117.9661737,-80
-33.2724741,117.9661737,-80
-33.2723873,117.9661727,-80
-33.272302,117.9661719,-84
-33.272302,117.9661719,-84
-33.2722173,117.966171,-84
-33.2721327,117.9661704,-85
-33.2721327,117.9661704,-85
-33.2720477,117.9661701,-85
-33.2719623,117.9661701,-86
-33.2719623,117.9661701,-86
-33.2718752,117.9661706,-86
-33.2717881,117.9661725,-86
-33.2717881,117.9661725,-86
-33.2717019,117.9661749,-86
-33.271618,117.9661792,-79
-33.271618,117.9661792,-79
-33.2715364,117.9661822,-79
-33.2714573,117.9661842,-86
-33.2714573,117.9661842,-86
-33.2713812,117.9661845,-78
-33.2713089,117.9661825,-78
-33.2713089,117.9661825,-77
-33.2712402,117.966179,-77
-33.2711761,117.9661755,-77
-33.2711761,117.9661755,0
-33.2711146,117.9661723,0
-33.2710542,117.966168,0
-33.2710542,117.966168,0
-33.2709938,117.9661619,0
-33.2709356,117.9661529,0
-33.2709356,117.9661529,-80
-33.2708823,117.9661395,-80
-33.2708344,117.9661179,-80
-33.2708344,117.9661179,-84
-33.2707934,117.9660873,-84
-33.2707607,117.9660462,-84
-33.2707607,117.9660462,-89
-33.2707373,117.9659959,-89
-33.2707243,117.9659387,-89
-33.2707243,117.9659387,-85
-33.2707185,117.9658769,-85
-33.2707142,117.9658106,-84
-33.2707142,117.9658106,-84
-33.2707119,117.9657403,-84
-33.2707115,117.9656666,-81
-33.2707115,117.9656666,-81
-33.2707123,117.9655903,-81
-33.2707132,117.9655118,N/A
-33.2707132,117.9655118,N/A
-33.2707133,117.9654303,0
-33.2707133,117.9653465,0
-33.2707133,117.9653465,-76
-33.2707132,117.9652607,-76
-33.2707138,117.9651746,-76
-33.2707138,117.9651746,-85
-33.2707147,117.965088,-85
-33.2707156,117.9650013,-81
-33.2707156,117.9650013,-81
-33.2707167,117.9649137,-81
-33.2707175,117.9648253,-85
-33.2707175,117.9648253,-85
-33.2707183,117.9647361,-85
-33.2707186,117.9646461,-79
-33.2707186,117.9646461,-79
-33.2707178,117.9645563,-79
-33.2707172,117.9644673,0
-33.2707172,117.9644673,0
-33.270717,117.9643781,0
-33.2707176,117.964288,-74
-33.2707176,117.964288,-74
-33.2707192,117.9641968,-74
-33.2707208,117.9641055,-75
-33.2707208,117.9641055,-75
-33.2707216,117.9640138,-75
-33.270722,117.9639215,-80
-33.270722,117.9639215,-80
-33.2707223,117.9638292,-80
-33.2707231,117.9637379,-79
-33.2707231,117.9637379,-79
-33.2707234,117.9636467,-71
-33.2707242,117.9635567,-71
-33.2707242,117.9635567,-72
-33.2707246,117.963469,-72
-33.270725,117.9633843,-72
-33.270725,117.9633843,-79
-33.2707251,117.9633012,-79
-33.2707255,117.9632196,-79
-33.2707255,117.9632196,-66
-33.2707259,117.9631393,-66
-33.2707261,117.963059,-66
-33.2707261,117.963059,-77
-33.2707267,117.9629786,-77
-33.2707268,117.9628979,-77
-33.2707268,117.9628979,-70
-33.2707269,117.9628178,-70
-33.2707271,117.9627392,-70
-33.2707271,117.9627392,-77
-33.2707272,117.962662,-77
-33.2707274,117.9625863,-77
-33.2707274,117.9625863,-76
-33.2707272,117.9625105,-76
-33.2707269,117.9624347,-76
-33.2707269,117.9624347,-77
-33.2707266,117.9623582,-77
-33.2707263,117.9622815,-77
-33.2707263,117.9622815,-61
-33.2707261,117.9622054,-61
-33.2707259,117.9621298,-61
-33.2707259,117.9621298,-61
-33.2707269,117.9620542,-61
-33.2707293,117.9619799,-61
-33.2707293,117.9619799,-45
-33.2707327,117.9619068,-45
-33.2707368,117.9618336,-45
